(a, cost(a)): {1, 2, 3, 4, 5} 4
(a, cost(a)): {1, 2, 3, 5, 4} 5
(a, cost(a)): {1, 2, 4, 3, 5} 5
(a, cost(a)): {1, 2, 4, 5, 3} 7
(a, cost(a)): {1, 2, 5, 3, 4} 6
(a, cost(a)): {1, 2, 5, 4, 3} 6
(a, cost(a)): {1, 3, 2, 4, 5} 5
(a, cost(a)): {1, 3, 2, 5, 4} 6
(a, cost(a)): {1, 3, 4, 2, 5} 7
(a, cost(a)): {1, 3, 4, 5, 2} 9
(a, cost(a)): {1, 3, 5, 2, 4} 8
(a, cost(a)): {1, 3, 5, 4, 2} 10
(a, cost(a)): {1, 4, 2, 3, 5} 6
(a, cost(a)): {1, 4, 2, 5, 3} 8
(a, cost(a)): {1, 4, 3, 2, 5} 6
(a, cost(a)): {1, 4, 3, 5, 2} 9
(a, cost(a)): {1, 4, 5, 2, 3} 8
(a, cost(a)): {1, 4, 5, 3, 2} 8
(a, cost(a)): {1, 5, 2, 3, 4} 7
(a, cost(a)): {1, 5, 2, 4, 3} 7
(a, cost(a)): {1, 5, 3, 2, 4} 7
(a, cost(a)): {1, 5, 3, 4, 2} 8
(a, cost(a)): {1, 5, 4, 2, 3} 9
(a, cost(a)): {1, 5, 4, 3, 2} 7
(a, cost(a)): {2, 1, 3, 4, 5} 5
(a, cost(a)): {2, 1, 3, 5, 4} 6
(a, cost(a)): {2, 1, 4, 3, 5} 6
(a, cost(a)): {2, 1, 4, 5, 3} 8
(a, cost(a)): {2, 1, 5, 3, 4} 7
(a, cost(a)): {2, 1, 5, 4, 3} 7
(a, cost(a)): {2, 3, 1, 4, 5} 7
(a, cost(a)): {2, 3, 1, 5, 4} 8
(a, cost(a)): {2, 3, 4, 1, 5} 9
(a, cost(a)): {2, 3, 4, 5, 1} 11
(a, cost(a)): {2, 3, 5, 1, 4} 10
(a, cost(a)): {2, 3, 5, 4, 1} 12
(a, cost(a)): {2, 4, 1, 3, 5} 8
(a, cost(a)): {2, 4, 1, 5, 3} 10
(a, cost(a)): {2, 4, 3, 1, 5} 10
(a, cost(a)): {2, 4, 3, 5, 1} 12
(a, cost(a)): {2, 4, 5, 1, 3} 12
(a, cost(a)): {2, 4, 5, 3, 1} 14
(a, cost(a)): {2, 5, 1, 3, 4} 9
(a, cost(a)): {2, 5, 1, 4, 3} 9
(a, cost(a)): {2, 5, 3, 1, 4} 11
(a, cost(a)): {2, 5, 3, 4, 1} 13
(a, cost(a)): {2, 5, 4, 1, 3} 11
(a, cost(a)): {2, 5, 4, 3, 1} 13
(a, cost(a)): {3, 1, 2, 4, 5} 6
(a, cost(a)): {3, 1, 2, 5, 4} 7
(a, cost(a)): {3, 1, 4, 2, 5} 8
(a, cost(a)): {3, 1, 4, 5, 2} 10
(a, cost(a)): {3, 1, 5, 2, 4} 9
(a, cost(a)): {3, 1, 5, 4, 2} 11
(a, cost(a)): {3, 2, 1, 4, 5} 6
(a, cost(a)): {3, 2, 1, 5, 4} 7
(a, cost(a)): {3, 2, 4, 1, 5} 9
(a, cost(a)): {3, 2, 4, 5, 1} 13
(a, cost(a)): {3, 2, 5, 1, 4} 10
(a, cost(a)): {3, 2, 5, 4, 1} 12
(a, cost(a)): {3, 4, 1, 2, 5} 8
(a, cost(a)): {3, 4, 1, 5, 2} 11
(a, cost(a)): {3, 4, 2, 1, 5} 8
(a, cost(a)): {3, 4, 2, 5, 1} 11
(a, cost(a)): {3, 4, 5, 1, 2} 10
(a, cost(a)): {3, 4, 5, 2, 1} 10
(a, cost(a)): {3, 5, 1, 2, 4} 9
(a, cost(a)): {3, 5, 1, 4, 2} 10
(a, cost(a)): {3, 5, 2, 1, 4} 9
(a, cost(a)): {3, 5, 2, 4, 1} 12
(a, cost(a)): {3, 5, 4, 1, 2} 11
(a, cost(a)): {3, 5, 4, 2, 1} 11
(a, cost(a)): {4, 1, 2, 3, 5} 7
(a, cost(a)): {4, 1, 2, 5, 3} 9
(a, cost(a)): {4, 1, 3, 2, 5} 7
(a, cost(a)): {4, 1, 3, 5, 2} 10
(a, cost(a)): {4, 1, 5, 2, 3} 9
(a, cost(a)): {4, 1, 5, 3, 2} 9
(a, cost(a)): {4, 2, 1, 3, 5} 7
(a, cost(a)): {4, 2, 1, 5, 3} 9
(a, cost(a)): {4, 2, 3, 1, 5} 8
(a, cost(a)): {4, 2, 3, 5, 1} 11
(a, cost(a)): {4, 2, 5, 1, 3} 10
(a, cost(a)): {4, 2, 5, 3, 1} 12
(a, cost(a)): {4, 3, 1, 2, 5} 9
(a, cost(a)): {4, 3, 1, 5, 2} 11
(a, cost(a)): {4, 3, 2, 1, 5} 7
(a, cost(a)): {4, 3, 2, 5, 1} 11
(a, cost(a)): {4, 3, 5, 1, 2} 11
(a, cost(a)): {4, 3, 5, 2, 1} 10
(a, cost(a)): {4, 5, 1, 2, 3} 11
(a, cost(a)): {4, 5, 1, 3, 2} 9
(a, cost(a)): {4, 5, 2, 1, 3} 9
(a, cost(a)): {4, 5, 2, 3, 1} 10
(a, cost(a)): {4, 5, 3, 1, 2} 13
(a, cost(a)): {4, 5, 3, 2, 1} 9
(a, cost(a)): {5, 1, 2, 3, 4} 8
(a, cost(a)): {5, 1, 2, 4, 3} 8
(a, cost(a)): {5, 1, 3, 2, 4} 8
(a, cost(a)): {5, 1, 3, 4, 2} 9
(a, cost(a)): {5, 1, 4, 2, 3} 10
(a, cost(a)): {5, 1, 4, 3, 2} 8
(a, cost(a)): {5, 2, 1, 3, 4} 8
(a, cost(a)): {5, 2, 1, 4, 3} 8
(a, cost(a)): {5, 2, 3, 1, 4} 9
(a, cost(a)): {5, 2, 3, 4, 1} 10
(a, cost(a)): {5, 2, 4, 1, 3} 11
(a, cost(a)): {5, 2, 4, 3, 1} 11
(a, cost(a)): {5, 3, 1, 2, 4} 10
(a, cost(a)): {5, 3, 1, 4, 2} 12
(a, cost(a)): {5, 3, 2, 1, 4} 8
(a, cost(a)): {5, 3, 2, 4, 1} 10
(a, cost(a)): {5, 3, 4, 1, 2} 12
(a, cost(a)): {5, 3, 4, 2, 1} 9
(a, cost(a)): {5, 4, 1, 2, 3} 10
(a, cost(a)): {5, 4, 1, 3, 2} 10
(a, cost(a)): {5, 4, 2, 1, 3} 10
(a, cost(a)): {5, 4, 2, 3, 1} 9
(a, cost(a)): {5, 4, 3, 1, 2} 12
(a, cost(a)): {5, 4, 3, 2, 1} 8

  real	1.49s
  user	0.00s
  sys	0.01s
  mem	3460KB
